start_time, end_time, class, beam, duration_minutes
2022-01-06 02:12:30, 2022-01-06 02:17:30, 1, 2, 5.0
2022-01-06 03:22:30, 2022-01-06 03:27:30, 1, 2, 5.0
2022-01-06 03:32:30, 2022-01-06 03:37:30, 1, 2, 5.0
2022-01-06 03:52:30, 2022-01-06 03:57:30, 1, 2, 5.0
2022-01-06 04:47:30, 2022-01-06 05:42:30, 1, 2, 55.0
2022-01-06 05:47:30, 2022-01-06 05:57:30, 1, 2, 10.0
2022-01-06 06:07:30, 2022-01-06 06:22:30, 1, 2, 15.0
2022-01-06 02:17:30, 2022-01-06 03:22:30, 3, 2, 65.0
2022-01-06 03:57:30, 2022-01-06 04:47:30, 3, 2, 50.0
2022-01-06 05:42:30, 2022-01-06 05:47:30, 3, 2, 5.0
2022-01-06 00:02:30, 2022-01-06 00:52:30, 1, 3, 50.0
2022-01-06 02:12:30, 2022-01-06 02:17:30, 1, 3, 5.0
2022-01-06 02:37:30, 2022-01-06 02:52:30, 1, 3, 15.0
2022-01-06 00:52:30, 2022-01-06 02:12:30, 3, 3, 80.0
2022-01-15 20:57:30, 2022-01-15 21:02:30, 3, 2, 5.0
2022-01-31 12:42:30, 2022-01-31 12:47:30, 1, 1, 5.0
2022-01-31 13:07:30, 2022-01-31 13:17:30, 1, 1, 10.0
2022-01-31 12:37:30, 2022-01-31 12:42:30, 3, 1, 5.0
2022-01-31 12:47:30, 2022-01-31 13:02:30, 3, 1, 15.0
2022-01-31 13:22:30, 2022-01-31 17:17:30, 1, 2, 235.0
2022-01-31 17:22:30, 2022-01-31 23:57:30, 1, 2, 395.0
2022-01-31 13:17:30, 2022-01-31 13:22:30, 3, 2, 5.0
2022-01-31 17:17:30, 2022-01-31 17:22:30, 3, 2, 5.0
2022-01-31 16:07:30, 2022-01-31 16:12:30, 1, 3, 5.0
2022-02-01 00:02:30, 2022-02-01 05:52:30, 1, 2, 350.0
2022-02-01 05:57:30, 2022-02-01 06:42:30, 1, 2, 45.0
2022-02-01 06:47:30, 2022-02-01 14:17:30, 1, 2, 450.0
2022-02-01 14:22:30, 2022-02-01 23:57:30, 1, 2, 575.0
2022-02-01 05:52:30, 2022-02-01 05:57:30, 3, 2, 5.0
2022-02-01 06:42:30, 2022-02-01 06:47:30, 3, 2, 5.0
2022-02-01 14:17:30, 2022-02-01 14:22:30, 3, 2, 5.0
2022-02-02 00:02:30, 2022-02-02 04:47:30, 1, 2, 285.0
2022-02-02 04:52:30, 2022-02-02 05:02:30, 1, 2, 10.0
2022-02-02 05:12:30, 2022-02-02 05:17:30, 1, 2, 5.0
2022-02-02 05:27:30, 2022-02-02 05:32:30, 1, 2, 5.0
2022-02-02 05:42:30, 2022-02-02 05:57:30, 1, 2, 15.0
2022-02-02 06:02:30, 2022-02-02 06:27:30, 1, 2, 25.0
2022-02-02 06:32:30, 2022-02-02 07:32:30, 1, 2, 60.0
